CustomerID,Age,Gender,Category,Season,Location,Item Purchased,StoreVisitsPerMonth,TotalSpending,OnlineShopping,MembershipDuration,DiscountUsage,PreferredPaymentMethod,DaysSinceLastPurchase,LoyaltyPoints,AverageBasketSize
31,57,Male,Accessories,Winter,North Carolina,Jewelry,13,1099,No,2,2,Cash,17,43,9
32,33,Male,Clothing,Winter,West Virginia,Dress,20,5592,No,19,8,Mobile Wallet,26,51,6
33,36,Male,Outerwear,Summer,Kansas,Jacket,7,8374,Yes,21,4,Mobile Wallet,13,57,9
34,54,Male,Clothing,Summer,Colorado,Pants,9,2451,Yes,7,10,Debit Card,22,9,4
35,36,Male,Clothing,Spring,North Dakota,T-shirt,8,1001,No,23,10,Mobile Wallet,6,93,2
36,54,Male,Clothing,Summer,Massachusetts,Blouse,1,1372,Yes,17,9,Mobile Wallet,22,84,4
37,35,Male,Clothing,Winter,Illinois,T-shirt,11,266,Yes,6,8,Debit Card,1,21,4
38,35,Male,Clothing,Summer,Indiana,Jeans,3,122,Yes,18,5,Cash,12,100,1
39,29,Male,Clothing,Winter,Florida,Dress,13,1382,Yes,20,2,Credit Card,15,70,7
40,70,Male,Clothing,Summer,Arizona,Pants,6,3257,Yes,10,10,Debit Card,23,74,5
41,69,Male,Accessories,Winter,Louisiana,Handbag,17,7852,Yes,16,3,Credit Card,2,87,4
42,67,Male,Accessories,Spring,Alaska,Scarf,16,9550,Yes,2,3,Credit Card,23,17,4
43,20,Male,Outerwear,Spring,Tennessee,Coat,20,3065,No,16,10,Mobile Wallet,23,21,2
44,25,Male,Accessories,Fall,Ohio,Scarf,14,7265,Yes,2,6,Credit Card,5,84,7
45,39,Male,Accessories,Summer,Kentucky,Hat,9,914,No,20,5,Credit Card,16,77,2
46,50,Male,Clothing,Fall,Tennessee,Socks,4,1926,No,24,7,Mobile Wallet,21,45,2
47,57,Male,Clothing,Summer,California,Shirt,9,5205,Yes,5,8,Cash,15,77,3
48,55,Male,Accessories,Winter,Montana,Jewelry,15,1397,Yes,18,10,Debit Card,13,98,2
49,42,Male,Clothing,Summer,Nevada,Shirt,12,1927,No,2,1,Debit Card,13,40,7
50,68,Male,Clothing,Spring,New Jersey,Hoodie,18,7958,Yes,17,7,Credit Card,12,42,1
51,49,Male,Clothing,Spring,Maryland,Blouse,1,3207,Yes,24,5,Debit Card,10,87,9
52,59,Male,Clothing,Winter,Vermont,Skirt,13,3797,Yes,13,6,Credit Card,30,89,2
53,42,Male,Clothing,Summer,Alaska,T-shirt,19,4299,No,13,2,Cash,17,68,4
54,29,Male,Clothing,Winter,Mississippi,Skirt,9,2610,No,10,4,Mobile Wallet,4,15,7
55,47,Male,Outerwear,Summer,New Mexico,Coat,6,6495,No,18,6,Credit Card,23,33,1
56,40,Male,Outerwear,Winter,South Carolina,Jacket,19,3282,No,3,4,Debit Card,1,88,10
57,41,Male,Accessories,Summer,Mississippi,Backpack,10,4312,No,18,6,Mobile Wallet,25,2,3
58,21,Male,Outerwear,Summer,West Virginia,Coat,5,5193,Yes,11,4,Credit Card,11,66,3
59,69,Male,Clothing,Summer,Missouri,Hoodie,6,6671,Yes,7,5,Credit Card,30,65,4
60,63,Male,Accessories,Spring,Louisiana,Belt,17,8417,Yes,5,7,Mobile Wallet,18,82,2
61,50,Male,Clothing,Summer,Idaho,Sweater,12,5584,Yes,19,9,Credit Card,8,29,9
62,55,Male,Accessories,Winter,Texas,Scarf,8,8915,No,13,6,Debit Card,3,78,4
63,30,Male,Footwear,Spring,Mississippi,Sneakers,7,4012,No,13,8,Cash,26,47,6
64,33,Male,Accessories,Winter,Arizona,Sunglasses,1,7005,No,16,5,Mobile Wallet,26,43,3
65,65,Male,Footwear,Fall,Alabama,Boots,11,3707,Yes,22,2,Credit Card,18,41,8
66,65,Male,Accessories,Spring,New Jersey,Backpack,3,6646,Yes,4,9,Mobile Wallet,18,20,4
67,31,Male,Clothing,Winter,Pennsylvania,Blouse,17,4161,Yes,23,9,Cash,7,96,2
68,45,Male,Outerwear,Winter,Connecticut,Coat,12,1022,Yes,3,6,Cash,4,86,4
69,57,Male,Accessories,Summer,Utah,Handbag,16,6858,Yes,24,6,Cash,6,75,2
70,48,Male,Accessories,Summer,Tennessee,Belt,20,6436,No,21,10,Mobile Wallet,5,90,5
71,22,Male,Accessories,Fall,Alabama,Belt,12,3648,Yes,12,3,Credit Card,3,34,2
72,36,Male,Clothing,Summer,Virginia,Dress,7,6975,Yes,21,5,Mobile Wallet,15,16,5
73,18,Male,Clothing,Winter,Georgia,Dress,1,1346,No,3,4,Debit Card,14,27,3
74,48,Male,Clothing,Spring,Hawaii,Pants,9,9972,Yes,3,10,Credit Card,17,1,3
75,49,Male,Accessories,Spring,Indiana,Gloves,7,7658,Yes,16,4,Credit Card,28,23,10
76,64,Male,Accessories,Summer,Utah,Scarf,17,8424,Yes,5,1,Mobile Wallet,30,70,5
77,50,Male,Accessories,Summer,Delaware,Hat,1,8617,Yes,4,2,Credit Card,20,17,7
78,22,Male,Clothing,Summer,Delaware,Dress,9,7857,Yes,13,10,Mobile Wallet,3,46,9
79,50,Male,Clothing,Spring,Nebraska,Skirt,11,2044,Yes,20,2,Debit Card,23,67,3
80,38,Male,Outerwear,Winter,Iowa,Jacket,13,7239,No,9,2,Debit Card,30,61,2
81,19,Male,Footwear,Summer,New York,Sandals,19,9120,Yes,7,7,Credit Card,20,70,4
82,67,Male,Footwear,Summer,Virginia,Shoes,5,146,No,21,10,Credit Card,14,21,8
83,19,Male,Clothing,Spring,Georgia,Pants,3,3188,No,3,3,Credit Card,24,88,9
84,36,Male,Clothing,Summer,Texas,Dress,4,5395,No,4,8,Mobile Wallet,7,9,10
85,52,Male,Outerwear,Spring,Arizona,Coat,5,8575,Yes,3,8,Debit Card,1,25,8
86,53,Male,Accessories,Winter,New Mexico,Sunglasses,11,7129,Yes,2,8,Credit Card,22,38,3
87,24,Male,Clothing,Spring,Nevada,Hoodie,4,8739,No,2,4,Cash,11,46,2
88,52,Male,Footwear,Fall,Ohio,Shoes,2,7893,Yes,20,3,Credit Card,2,36,7
89,33,Male,Clothing,Fall,Wyoming,T-shirt,17,1583,Yes,14,2,Debit Card,3,43,8
90,47,Male,Outerwear,Fall,California,Jacket,13,2604,No,22,10,Mobile Wallet,4,22,8
91,25,Male,Accessories,Summer,South Carolina,Hat,3,9706,Yes,14,2,Credit Card,15,22,9
92,44,Male,Accessories,Winter,South Carolina,Scarf,13,6879,Yes,14,4,Mobile Wallet,29,89,6
93,61,Male,Outerwear,Winter,Texas,Jacket,1,7159,Yes,20,4,Credit Card,8,59,8
94,37,Male,Clothing,Fall,Florida,Sweater,6,7495,No,17,5,Debit Card,6,66,2
95,58,Male,Clothing,Spring,Nevada,Skirt,4,7361,No,7,9,Credit Card,11,8,9
96,37,Male,Footwear,Fall,Missouri,Sneakers,14,9083,Yes,13,2,Debit Card,28,51,1
97,32,Male,Accessories,Spring,Delaware,Gloves,19,1165,Yes,3,4,Mobile Wallet,10,75,3
98,21,Male,Footwear,Winter,Virginia,Shoes,15,1778,Yes,14,9,Mobile Wallet,21,14,5
99,20,Male,Clothing,Spring,New York,Jeans,14,4638,Yes,5,5,Credit Card,15,80,8
100,26,Male,Clothing,Summer,Missouri,Hoodie,12,4438,No,6,8,Mobile Wallet,10,2,2
101,62,Male,Accessories,Fall,South Dakota,Sunglasses,16,1690,No,20,10,Debit Card,20,18,8
102,27,Male,Outerwear,Spring,North Dakota,Coat,4,703,Yes,19,10,Debit Card,9,77,8
103,51,Male,Clothing,Winter,Oklahoma,Socks,11,9159,Yes,15,8,Credit Card,26,87,4
104,54,Male,Footwear,Winter,West Virginia,Boots,7,4703,No,8,6,Credit Card,16,10,8
105,55,Male,Accessories,Spring,New Hampshire,Sunglasses,11,8869,Yes,8,9,Debit Card,9,43,2
106,69,Male,Accessories,Fall,New York,Backpack,18,9934,Yes,13,4,Cash,,28,9
107,64,Male,Outerwear,Summer,Minnesota,Jacket,8,9850,Yes,18,4,Cash,24,7,7
108,28,Male,Footwear,Winter,Maryland,Sneakers,19,3735,No,13,8,Debit Card,29,,6
109,70,Male,Clothing,Spring,Montana,Socks,6,2799,Yes,8,8,Cash,29,9,1
110,58,Male,Clothing,Spring,Alabama,T-shirt,7,1125,Yes,4,8,Debit Card,10,55,5
111,56,Male,Accessories,Summer,New York,Backpack,18,6314,No,16,7,Cash,28,39,6
112,26,Male,Accessories,Summer,Massachusetts,Belt,10,1736,Yes,15,10,Credit Card,18,23,9
113,37,Male,Accessories,Spring,Florida,Gloves,2,7101,Yes,17,9,Mobile Wallet,26,53,8
114,44,Male,Accessories,Winter,New Jersey,Hat,1,1846,Yes,15,7,Cash,3,62,10
115,70,Male,Outerwear,Summer,Massachusetts,Coat,16,8431,No,12,1,Cash,19,39,3
116,53,Male,Clothing,Spring,Wyoming,Skirt,17,3781,Yes,10,6,Mobile Wallet,26,8,9
117,55,Male,Footwear,Spring,Virginia,Shoes,6,249,No,3,9,Mobile Wallet,24,19,6
118,50,Male,Footwear,Summer,South Dakota,Sandals,6,9618,No,21,4,Debit Card,16,18,6
119,50,Male,Clothing,Fall,Kentucky,Sweater,11,3583,Yes,4,1,Debit Card,13,70,6
120,38,Male,Outerwear,Fall,Wyoming,Coat,10,2263,No,3,10,Mobile Wallet,1,7,10
121,64,Male,Accessories,Summer,West Virginia,Hat,19,8529,Yes,7,9,Cash,23,83,4
122,19,Male,Clothing,Winter,Virginia,Shorts,12,5728,Yes,9,7,Debit Card,25,5,5
123,40,Male,Accessories,Spring,Washington,Backpack,18,4710,No,6,5,Credit Card,3,78,8
124,57,Male,Clothing,Fall,Louisiana,Sweater,6,4812,Yes,23,1,Cash,6,84,10
125,44,Male,Clothing,Spring,Nevada,Sweater,16,9780,No,23,6,Debit Card,28,60,10
126,49,Male,Clothing,Winter,California,Shorts,18,169,No,11,1,Mobile Wallet,26,78,5
127,43,Male,Clothing,Spring,Mississippi,Shorts,20,4150,No,18,6,Mobile Wallet,13,27,7
128,24,Male,Clothing,Winter,Mississippi,Sweater,4,679,Yes,16,9,Cash,8,39,10
129,20,Male,Accessories,Spring,California,Scarf,18,7581,No,1,5,Debit Card,22,55,8
130,24,Male,Clothing,Summer,Pennsylvania,Dress,16,3757,No,1,1,Credit Card,19,8,
131,44,Male,Accessories,Fall,Kentucky,Scarf,14,8275,Yes,19,5,Cash,17,38,2
132,28,Male,Clothing,Summer,Maine,Skirt,10,9299,Yes,6,9,Debit Card,30,85,1
133,30,Male,Accessories,Fall,New Mexico,Backpack,8,7804,No,17,1,Mobile Wallet,8,65,6
134,52,Male,Clothing,Winter,Montana,Sweater,7,9124,No,13,8,Cash,20,5,8
135,43,Male,Accessories,Fall,Texas,Hat,8,7132,Yes,9,7,Mobile Wallet,15,63,6
136,43,Male,Footwear,Fall,Kansas,Sandals,16,8002,No,16,3,Mobile Wallet,1,7,5
137,39,Male,Clothing,Winter,South Carolina,Blouse,15,8333,No,18,4,Credit Card,3,81,9
138,68,Male,Footwear,Spring,Colorado,Sneakers,10,2197,Yes,9,1,Credit Card,28,61,1
139,68,Male,Clothing,Winter,Georgia,Skirt,11,1181,No,14,6,Mobile Wallet,26,97,10
140,49,Male,Outerwear,Fall,Florida,Coat,5,5489,No,10,10,Debit Card,2,18,1
141,63,Male,Clothing,Fall,North Carolina,Shirt,19,7753,Yes,12,10,Credit Card,7,88,10
142,56,Male,Accessories,Fall,Virginia,Gloves,3,7981,No,21,7,Credit Card,25,14,3
143,37,Male,Outerwear,Fall,Nebraska,Jacket,14,1961,Yes,1,9,Debit Card,28,39,7
144,30,Male,Outerwear,Fall,Missouri,Coat,20,9534,No,5,6,Credit Card,22,89,10
145,19,Male,Footwear,Fall,New Jersey,Shoes,7,5281,No,9,3,Mobile Wallet,14,27,1
146,24,Male,Accessories,Fall,Missouri,Jewelry,16,7890,Yes,5,9,Cash,14,95,5
147,52,Male,Clothing,Fall,Colorado,Skirt,6,1269,Yes,24,4,Cash,23,7,5
148,63,Male,Footwear,Summer,Idaho,Shoes,3,4431,No,23,9,Cash,28,94,5
149,37,Male,Accessories,Fall,Wyoming,Gloves,9,1004,Yes,21,1,Mobile Wallet,26,98,1
150,38,Male,Clothing,Summer,Delaware,Pants,16,5812,Yes,6,1,Cash,3,21,6
151,35,Male,Footwear,Fall,California,Boots,9,4982,Yes,12,2,Cash,18,90,3
152,28,Male,Accessories,Fall,North Dakota,Sunglasses,1,9800,Yes,6,10,Mobile Wallet,8,45,7
153,30,Male,Clothing,Summer,South Carolina,Shirt,15,5729,No,4,5,Mobile Wallet,18,64,1
154,69,Male,Clothing,Winter,North Carolina,Hoodie,17,1618,Yes,2,9,Credit Card,22,44,8
155,41,Male,Clothing,Fall,Oklahoma,Dress,9,6170,No,20,1,Debit Card,12,81,7
156,63,Male,Clothing,Spring,Maine,Socks,17,6488,No,18,6,Cash,13,60,5
157,35,Male,Clothing,Fall,Missouri,Shorts,10,1934,Yes,13,5,Mobile Wallet,4,38,8
158,36,Male,Accessories,Fall,Vermont,Hat,17,2804,No,19,10,Cash,29,97,9
159,25,Male,Clothing,Fall,Connecticut,Shirt,16,5974,No,11,9,Debit Card,13,66,5
160,58,Male,Accessories,Fall,New Hampshire,Gloves,4,1650,Yes,24,9,Debit Card,11,18,2
161,27,Male,Accessories,Summer,Texas,Gloves,10,1236,Yes,14,1,Mobile Wallet,21,20,4
162,65,Male,Accessories,Fall,North Dakota,Backpack,3,4765,Yes,10,1,Debit Card,7,26,5
163,54,Male,Accessories,Summer,California,Sunglasses,3,4594,Yes,7,8,Mobile Wallet,30,64,7
164,54,Male,Clothing,Summer,Virginia,Skirt,8,6196,Yes,2,2,Credit Card,7,70,4
165,59,Male,Accessories,Spring,Delaware,Handbag,20,7225,No,7,3,Debit Card,14,62,6
166,42,Male,Accessories,Winter,Kentucky,Handbag,14,482,Yes,7,5,Cash,10,61,5
167,46,Male,Footwear,Fall,Delaware,Sneakers,16,3990,No,18,3,Cash,14,89,7
168,33,Male,Accessories,Fall,Arkansas,Gloves,5,9675,Yes,9,7,Cash,1,50,4
169,34,Male,Footwear,Summer,Louisiana,Shoes,18,218,Yes,3,3,Cash,12,68,7
170,27,Male,Outerwear,Summer,Nevada,Jacket,2,6405,No,5,5,Mobile Wallet,1,91,9
171,52,Male,Clothing,Fall,Wyoming,Shirt,2,9613,Yes,3,9,Cash,24,58,3
172,29,Male,Clothing,Summer,Virginia,Shorts,20,8362,No,21,8,Debit Card,28,38,3
173,54,Male,Accessories,Summer,Nebraska,Jewelry,10,3431,No,10,4,Cash,1,62,3
174,25,Male,Accessories,Fall,Hawaii,Hat,16,8238,Yes,2,8,Credit Card,16,41,9
175,41,Male,Footwear,Winter,Vermont,Shoes,4,2297,Yes,3,9,Cash,8,44,8
176,53,Male,Outerwear,Fall,Oklahoma,Coat,11,4162,Yes,5,6,Mobile Wallet,13,71,3
177,53,Male,Accessories,Spring,New Hampshire,Backpack,11,537,Yes,5,6,Debit Card,29,0,1
178,21,Male,Clothing,Fall,Kansas,Hoodie,8,7834,No,2,7,Mobile Wallet,21,11,1
179,61,Male,Clothing,Fall,Idaho,Skirt,7,8397,No,23,9,Cash,29,84,9
180,64,Male,Footwear,Fall,Illinois,Boots,20,5626,Yes,1,10,Credit Card,17,57,3
181,51,Male,Footwear,Fall,South Dakota,Sandals,8,2373,Yes,22,10,Credit Card,12,77,3
182,32,Male,Clothing,Summer,Massachusetts,Pants,19,3105,No,8,8,Credit Card,6,40,8
183,38,Male,Accessories,Summer,Alabama,Gloves,13,6032,Yes,24,5,Cash,6,47,1
184,58,Male,Clothing,Spring,Ohio,Skirt,5,1627,Yes,5,9,Debit Card,9,2,1
185,32,Male,Footwear,Spring,Hawaii,Sneakers,3,5797,No,3,8,Debit Card,21,98,6
186,46,Male,Clothing,Summer,Wisconsin,T-shirt,18,6672,No,18,7,Debit Card,19,89,10
187,39,Male,Accessories,Summer,Minnesota,Backpack,20,7507,Yes,2,5,Debit Card,30,2,1
188,19,Male,Footwear,Spring,Georgia,Shoes,13,6078,Yes,8,4,Credit Card,16,93,3
189,50,Male,Clothing,Spring,Arkansas,Hoodie,18,8829,No,12,7,Mobile Wallet,7,86,8
190,36,Male,Clothing,Fall,West Virginia,Blouse,13,981,No,23,8,Debit Card,29,78,5
191,65,Male,Outerwear,Fall,Indiana,Coat,9,686,No,5,10,Credit Card,2,44,3
192,64,Male,Accessories,Fall,Utah,Hat,11,8741,No,5,6,Credit Card,6,15,3
193,46,Male,Footwear,Summer,Nebraska,Shoes,1,3506,No,22,1,Debit Card,20,34,1
194,36,Male,Accessories,Fall,North Dakota,Belt,7,6847,Yes,20,2,Debit Card,28,66,6
195,51,Male,Accessories,Spring,Missouri,Backpack,20,5482,Yes,9,5,Mobile Wallet,13,58,10
196,51,Male,Outerwear,Fall,New York,Jacket,8,4181,No,13,6,Credit Card,15,79,3
197,38,Male,Footwear,Summer,Washington,Boots,1,9707,No,20,3,Debit Card,10,35,7
198,59,Male,Accessories,Fall,South Carolina,Scarf,2,3069,Yes,18,8,Mobile Wallet,15,20,10
199,57,Male,Accessories,Winter,Utah,Jewelry,19,3053,Yes,6,5,Credit Card,17,33,10
200,54,Male,Accessories,Summer,Idaho,Hat,17,6300,Yes,22,6,Debit Card,15,3,8
201,25,Male,Clothing,Summer,Pennsylvania,Dress,10,8730,Yes,12,9,Cash,30,80,6
202,69,Male,Clothing,Fall,Missouri,Blouse,11,7839,Yes,19,6,Mobile Wallet,24,17,5
203,57,Male,Accessories,Spring,Nebraska,Hat,19,6751,No,5,8,Credit Card,15,21,9
204,70,Male,Accessories,Fall,Indiana,Scarf,19,591,No,4,10,Mobile Wallet,1,79,1
205,24,Male,Footwear,Fall,Arizona,Sneakers,4,3239,No,3,9,Credit Card,23,48,4
206,67,Male,Clothing,Winter,Hawaii,Shirt,14,2114,No,24,8,Credit Card,3,72,10
207,24,Male,Clothing,Summer,Wisconsin,T-shirt,8,3597,No,16,1,Mobile Wallet,18,41,5
208,62,Male,Accessories,Summer,Rhode Island,Gloves,11,7463,Yes,17,7,Cash,30,99,7
209,57,Male,Clothing,Spring,Wisconsin,Skirt,13,4109,Yes,24,5,Cash,10,24,1
210,55,Male,Footwear,Winter,Minnesota,Sandals,11,9487,Yes,22,5,Mobile Wallet,20,36,8
211,45,Male,Outerwear,Fall,Vermont,Jacket,4,3352,No,10,8,Mobile Wallet,13,65,1
212,69,Male,Clothing,Fall,South Dakota,Skirt,9,6157,Yes,15,6,Mobile Wallet,18,62,5
213,67,Male,Accessories,Fall,Virginia,Handbag,8,210,No,14,5,Cash,28,59,4
214,30,Male,Accessories,Fall,Nevada,Handbag,11,425,No,10,9,Credit Card,28,26,5
215,24,Male,Outerwear,Summer,Hawaii,Jacket,13,4016,No,2,7,Debit Card,16,56,7
216,62,Male,Accessories,Spring,New Jersey,Scarf,12,4085,Yes,22,2,Mobile Wallet,30,51,6
217,43,Male,Clothing,Spring,Massachusetts,Shorts,19,3108,Yes,11,1,Mobile Wallet,22,17,1
218,35,Male,Accessories,Winter,Oklahoma,Sunglasses,2,8899,No,15,9,Debit Card,1,54,10
219,28,Male,Clothing,Spring,California,T-shirt,8,7454,No,5,10,Mobile Wallet,26,98,3
220,32,Male,Accessories,Spring,Nevada,Belt,17,5906,No,8,4,Debit Card,3,,6
221,39,Male,Footwear,Spring,Arizona,Sneakers,9,5671,Yes,24,10,Mobile Wallet,30,100,4
222,28,Male,Accessories,Summer,North Carolina,Hat,12,2045,No,8,6,Cash,29,32,9
223,47,Male,Accessories,Spring,New York,Gloves,18,7977,No,6,5,Credit Card,6,33,4
224,20,Male,Clothing,Spring,Wyoming,Pants,3,1207,No,21,10,Credit Card,1,13,2
225,63,Male,Clothing,Summer,South Dakota,Socks,14,1777,No,9,5,Debit Card,25,39,10
226,25,Male,Outerwear,Spring,Arkansas,Jacket,18,3434,No,2,3,Cash,6,25,2
227,29,Male,Footwear,Spring,Texas,Shoes,7,6063,Yes,8,3,Debit Card,12,79,5
228,50,Male,Clothing,Winter,Rhode Island,Jeans,16,2233,Yes,1,1,Cash,25,76,7
229,18,Male,Clothing,Spring,New Hampshire,Socks,8,6352,Yes,22,2,Cash,21,42,10
230,70,Male,Footwear,Spring,Ohio,Sandals,8,8358,No,7,7,Credit Card,1,1,5
231,66,Male,Accessories,Fall,Utah,Scarf,3,6381,No,16,5,Debit Card,4,67,3
232,28,Male,Clothing,Spring,Tennessee,Blouse,4,4626,No,1,9,Credit Card,8,93,1
233,54,Male,Accessories,Winter,Hawaii,Jewelry,6,5613,No,11,5,Credit Card,24,41,6
234,19,Male,Clothing,Fall,Arizona,Sweater,2,7085,Yes,14,3,Cash,5,34,10
235,20,Male,Accessories,Summer,South Dakota,Gloves,17,9784,No,13,7,Cash,29,39,3
236,43,Male,Accessories,Winter,New Jersey,Sunglasses,11,2962,No,4,8,Cash,4,49,2
237,38,Male,Outerwear,Winter,North Dakota,Coat,16,9355,Yes,1,9,Credit Card,26,80,9
238,50,Male,Clothing,Summer,Iowa,Dress,12,4775,No,4,6,Debit Card,29,46,8
239,64,Male,Clothing,Fall,Ohio,Skirt,14,9300,No,14,2,Mobile Wallet,7,75,8
240,49,Male,Clothing,Summer,Vermont,Pants,18,4622,No,12,7,Cash,26,38,5
241,47,Male,Clothing,Winter,Montana,Sweater,2,2983,Yes,22,8,Cash,16,91,8
242,36,Male,Clothing,Winter,Delaware,Hoodie,12,8420,Yes,14,2,Credit Card,19,95,2
243,55,Male,Outerwear,Summer,New York,Coat,9,7165,No,23,3,Debit Card,3,57,8
244,25,Male,Accessories,Winter,Kentucky,Jewelry,10,9791,Yes,3,5,Mobile Wallet,25,100,1
245,53,Male,Accessories,Spring,Oregon,Belt,10,4762,Yes,3,3,Credit Card,8,24,4
246,49,Male,Footwear,Summer,Rhode Island,Sandals,6,2859,Yes,5,5,Debit Card,27,66,8
247,35,Male,Accessories,Spring,Nevada,Sunglasses,19,2114,No,9,10,Cash,16,29,1
248,29,Male,Clothing,Spring,Montana,Sweater,18,2542,Yes,24,2,Cash,6,52,6
249,47,Male,Accessories,Winter,Pennsylvania,Belt,14,3116,No,3,8,Credit Card,21,95,3
250,53,Male,Accessories,Fall,Alaska,Handbag,15,7983,Yes,9,8,Debit Card,21,73,1
251,33,Male,Clothing,Fall,Mississippi,Skirt,11,4497,No,5,8,Credit Card,4,53,3
252,21,Male,Accessories,Winter,Wyoming,Handbag,9,6097,No,19,4,Cash,22,80,8
253,32,Male,Clothing,Summer,Delaware,Shorts,19,7430,Yes,7,3,Mobile Wallet,10,68,10
254,52,Male,Footwear,Winter,Oklahoma,Boots,6,9630,Yes,8,9,Credit Card,9,21,5
255,67,Male,Accessories,Winter,Indiana,Sunglasses,12,7218,Yes,19,4,Debit Card,14,79,1
256,43,Male,Accessories,Spring,Maryland,Scarf,7,8854,Yes,1,6,Cash,23,45,3
257,58,Male,Accessories,Spring,South Dakota,Jewelry,18,8380,Yes,13,2,Debit Card,16,48,7
258,20,Male,Accessories,Summer,West Virginia,Handbag,14,4909,Yes,20,6,Cash,26,44,8
259,61,Male,Accessories,Spring,Alabama,Gloves,1,3967,Yes,1,1,Mobile Wallet,29,83,6
260,32,Male,Clothing,Fall,Louisiana,Jeans,13,5182,Yes,16,6,Credit Card,16,43,3
261,38,Male,Accessories,Winter,Montana,Hat,12,6300,No,17,6,Debit Card,11,25,7
262,21,Male,Clothing,Winter,California,Jeans,4,5225,No,7,6,Credit Card,5,67,9
263,37,Male,Clothing,Summer,Hawaii,Pants,13,2770,Yes,8,8,Debit Card,22,100,10
264,27,Male,Clothing,Summer,Iowa,Shorts,1,849,No,15,6,Credit Card,29,73,10
265,36,Male,Clothing,Fall,Colorado,Pants,5,8348,Yes,8,2,Debit Card,9,13,5
266,32,Male,Accessories,Spring,Michigan,Backpack,17,899,Yes,18,10,Debit Card,8,96,7
267,51,Male,Accessories,Summer,Louisiana,Jewelry,9,7945,Yes,11,3,Debit Card,6,4,4
268,64,Male,Clothing,Spring,Maryland,Sweater,15,7532,No,11,4,Credit Card,2,79,9
269,68,Male,Footwear,Spring,Georgia,Shoes,1,4649,No,18,8,Debit Card,7,79,8
270,68,Male,Clothing,Winter,Georgia,Blouse,19,795,Yes,23,6,Credit Card,5,57,5
271,33,Male,Clothing,Fall,North Dakota,Jeans,5,4498,No,19,6,Cash,15,78,1
